"","1","2","3"
"里程km",8.83617021276596,6.60745341614907,5.5436170212766
"路面寬度m",18.551914893617,20.2242236024845,21.3909574468085
"路肩寬度",1.36170212765957,1.65139751552795,1.67606382978723
"小型車數",6845.75744680851,7187.06366459627,9672.68617021277
"大客車數",63.4127659574468,90.9425465838509,159.856382978723
"大貨車數",228.559574468085,416.277950310559,566.029255319149
"全聯結車數",5.74255319148936,10.1428571428571,10.7101063829787
"半聯結車數",178.331914893617,300.35248447205,364.678191489362
"機車數",3709.35531914894,2230.76708074534,4574.20212765957
"總流量PCU",10427.7808510638,10536.0388198758,14802.6968085106
"總計車公里",67314.414893617,49738.4549689441,67808.5106382979
"尖峰小時交通量PCU",1126.53404255319,1081.05590062112,1504.72872340426
"快車道數量",1.8063829787234,1.91304347826087,2.05053191489362
"機慢車道數量",0.497872340425532,0.388198757763975,0.24468085106383
