"","1","2","3","lambda","F.value","significance","mahavalue12","mahavalue13","mahavalue23","maha_min","between","mahavalue12","mahavalue13","mahavalue23"
"經度",121.002,120.997,120.809,0.975,15.405,0,0.002,0.165,0.135,0.002,"1 and 2",0.00233883714604377,0.164789177342336,0.134866252169674
"緯度",23.781,23.718,24.033,0.982,10.986,0,0.016,0.09,0.167,0.016,"1 and 2",0.0158898466568643,0.09013509849494,0.167171963612018
"里程km",9.975,18.753,5.677,0.747,200.488,0,0.614,0.785,4.874,0.614,"1 and 2",0.613906663811865,0.785161562275995,4.87376806072979
"路面寬度m",16.356,10.051,21.332,0.825,126.305,0,0.924,0.477,2.725,0.477,"1 and 3",0.924154541378097,0.47664333548748,2.72541931493692
"路肩寬度",1.157,0.727,1.698,0.943,36.147,0,0.285,0.21,0.677,0.21,"1 and 3",0.284886450235623,0.209834134378377,0.677337043731984
"小型車數",3988.305,1396.256,8803.132,0.915,54.903,0,0.446,0.374,0.84,0.374,"1 and 3",0.445682155618833,0.374322202632178,0.839835021535919
"大客車數",60.19,25.156,111.967,0.973,16.158,0,0.128,0.097,0.306,0.097,"1 and 3",0.127732943908947,0.0969703377128814,0.306020321223355
"大貨車數",162.335,49.344,460.223,0.934,42.053,0,0.424,0.318,0.576,0.318,"1 and 3",0.42410512474786,0.318363435237442,0.575987903366405
"全聯結車數",1.93,0.811,10.682,0.965,21.665,0,0.055,0.192,0.248,0.055,"1 and 2",0.054731101162556,0.192234178476992,0.248272535172566
"半聯結車數",94.325,16.333,328.904,0.96,24.87,0,0.32,0.202,0.32,0.202,"1 and 3",0.319731393435582,0.201950703822271,0.31974598158145
"機車數",1526.265,371.378,3792.004,0.953,29.522,0,0.365,0.206,0.454,0.206,"1 and 3",0.365094566274545,0.206252141440828,0.454182833104071
"總流量PCU",5924.035,2908.144,13174.177,0.903,63.505,0,0.264,0.465,0.904,0.264,"1 and 2",0.264079280976214,0.464916766080861,0.903584520572591
"總計車公里",45702.1,31996.133,64274.994,0.977,13.848,0,0.102,0.088,0.249,0.088,"1 and 3",0.102393352603167,0.0883951785711913,0.24914700027891
"尖峰小時交通量PCU",658.47,391.367,1354.568,0.905,62.038,0,0.155,0.477,0.849,0.155,"1 and 2",0.155391409711174,0.477042447381144,0.849309012630876
"快車道數量",1.6,1.144,2.026,0.85,104.855,0,0.614,0.453,2.276,0.453,"1 and 3",0.6140993102006,0.453377036906612,2.2759559781771
"機慢車道數量",0.365,0.067,0.413,0.974,15.854,0,0.423,0.009,0.481,0.009,"1 and 3",0.422777197177427,0.00880397219060783,0.48090658749601
