"","1","2","3","lambda","F.value","significance","mahavalue12","mahavalue13","mahavalue23"
"經度",121.002,120.997,120.809,0.975,15.4052821121947,2.48271979919563e-07,0.00233883714604391,0.164789177342339,0.134866252169676
"緯度",23.781,23.718,24.033,0.982,10.9855010407414,1.87358952015436e-05,0.0158898466568642,0.0901350984949408,0.167171963612019
"里程km",9.975,18.753,5.677,0.747,200.488064905406,9.67398845184304e-76,0.613906663811865,0.785161562275995,4.87376806072979
"路面寬度m",16.356,10.051,21.332,0.825,126.30529336424,1.85385328010172e-50,0.924154541378098,0.47664333548748,2.72541931493692
"路肩寬度",1.157,0.727,1.698,0.943,36.146678625841,5.77004430848514e-16,0.284886450235622,0.209834134378377,0.677337043731984
"小型車數",3988.305,1396.256,8803.132,0.915,54.9027462915403,1.56777377713006e-23,0.445682155618833,0.374322202632178,0.83983502153592
"大客車數",60.19,25.156,111.967,0.973,16.1581101584357,1.19246949872448e-07,0.127732943908947,0.0969703377128814,0.306020321223355
"大貨車數",162.335,49.344,460.223,0.934,42.0532052426503,2.26224024058394e-18,0.42410512474786,0.318363435237442,0.575987903366405
"全聯結車數",1.93,0.811,10.682,0.965,21.6654910397853,5.73413796728156e-10,0.054731101162556,0.192234178476993,0.248272535172567
"半聯結車數",94.325,16.333,328.904,0.96,24.8699018912093,2.62607893690829e-11,0.319731393435581,0.201950703822271,0.31974598158145
"機車數",1526.265,371.378,3792.004,0.953,29.52246873961,3.07077331043529e-13,0.365094566274545,0.206252141440828,0.454182833104071
"總流量PCU",5924.035,2908.144,13174.177,0.903,63.5050851491656,6.28286090185099e-27,0.264079280976214,0.464916766080861,0.903584520572591
"總計車公里",45702.1,31996.133,64274.994,0.977,13.8477011491614,1.13529081557407e-06,0.102393352603167,0.0883951785711913,0.24914700027891
"尖峰小時交通量PCU",658.47,391.367,1354.568,0.905,62.0381763840269,2.36751649534895e-26,0.155391409711174,0.477042447381144,0.849309012630876
"快車道數量",1.6,1.144,2.026,0.85,104.855489215276,1.16349942353704e-42,0.614099310200601,0.453377036906612,2.2759559781771
"機慢車道數量",0.365,0.067,0.413,0.974,15.8541543805476,1.603197417708e-07,0.422777197177427,0.00880397219060782,0.48090658749601
